location,tweet
"Lincoln, NE",Coronavirus update: U.S. counts more than cases in a single day and The Lancet says Trump pandemic response
"Lincoln, Nebraska",(1/2) Materiel-Purchasing team and continue to distribute vital PPE across the State to en
"Lincoln, NE",Concerns about new cases of the coronavirus and uncertainty about how the election are the two items that are gener
"Lincoln, NE",Mayors News Conference: Coronavirus Update at :30pm todayWatch it live on LNKTV City
"Lincoln, NE","Nebraska saw a record number of cases of the coronavirus confirmed for one day, as well as a record number of peopl"
"Lincoln, NE",The memory of working out in the yard on Saturday March while listening to this podcast episode and being scared
"Lincoln, NE","ICYMI: We broke down all the ways you can stay safe during , including precautionary measures you can take"
"Lincoln, NE","Scathing. OuchNebraska Keeps Defying the Big Ten, Responding to Adversity With Petulance"
"Lincoln, NE",Coronavirus updates: states report rise in hospitalizations; Utah hospitals 'can't keep up'; scaled-back Thanksg
"Lincoln, NE",His opponent voted NO to Legislature discussing help for residents during crisis. Vote Brodey Webe
Land of Lincoln ,"Soaring trade deficits, rising prices, job losses, falling markets, coronavirus infection rates &amp; hospital"
"Lincoln, NE","Thousands of nursing homes still don't have enough gloves, N95 masks, gowns and other personal protective equipment"
Lincoln,This is a really interesting graphical read
"Lincoln, NE",Covid Chasers: The Nurses Fighting Coronavirus From Hot Spot to Hot Spot
"Lincoln, Nebraska",Coronavirus testing czar: Nobodys waving the white flag to pandemic via
"Lincoln, NE","So, I got COVID.How did I get it? What were my symptoms? Can I smell or taste anything anymore?Check out this v"
"Lincoln, NE",More than new coronavirus cases today; U.S. total tops million; an American gets the virus every secon
"Lincoln, NE",His opponent voted NO to Legislature discussing help for residents during crisis. Vote Brodey Webe
"Lincoln, NE","The new cases raised the pandemic total to , while the death toll remained at ."
"Lincoln, NE",This project along with this article () estimating coronavirus spread depending on a number
"Lincoln, NE","President Donald Trump's son-in-law and senior adviser, Jared Kushner, boasted in mid-April about how the president"
Lincoln,Ahead of and when considering the impact of its really important to use common sense and s
"Lincoln, NE",I was super bummed to learn from an update with and election commissioner David Shively today that
"Lincoln, Nebraska",Coronavirus updates: Wisconsin may run out of ICU beds in weeks; Boston Marathon postponed; CVS adds rapid testin
"Lincoln, NE",Public relations firms hired by DHHS vetted political views of hundreds of celebrities for a planned $250 million a
"Lincoln, NE",UT-Chattanooga currently has total students and total staff with positive cases. According to this morning's n
"Lincoln, NE","Still, the % increase doesn't offset the prior quarter's decline. Experts have said a full recovery may take year"
"Lincoln, NE",Get out those pencils (or computers)! Students can share how they navigated life during the coronavirus pandemic in
"Lincoln, NE",Iowa voters won't be able to cast their ballot at any of those polling places this Election Day because of hundreds
"Lincoln, NE",The CDC announced new COVID-19 definitions for what constitutes Close Contact. NPR has the scoop
"Lincoln, Nebraska","These are the best graphics Ive seen on aerosol transmission of Covid-19: A room, a bar and a classroom: how the c"
"Lincoln, NE",The coronavirus pandemic has devastated the US jobs market. Some people filed for benefits last week rou
"Lincoln, NE","""I love Halloween,"" said Prashant Patel, who owns the Wash Doctor Carwash, in Birmingham, Ala., as as hundreds of c"
"Land of Lincoln, USA","All the news is about coronavirus infections, but where are all the deaths and they are also starting to"
"Lincoln, NE","To date, Lancaster County residents have died from the coronavirus."
"Lincoln, Nebraska",BOSTON MARATHON POSTPONEDOnce again the world's oldest annual marathon will be changing up the race due to coronav
"Lincoln, NE",She is a comedian but as a Nebraskan this is the arguments they spew daily on coronavirus updates from local media.
"Lincoln, Nebraska",a new way to provide coronavirus testing this winter.
"Lincoln, NE",LOL. Go Big Red Coronavirus.
"Lincoln, NE","As employers continue to navigate the COVID-19 pandemic, OSHA has released new guidelines to clarify reporting requ"
"Lincoln, NE",Bolz tests positive for coronavirus after quarantining
"Lincoln, NE",Congressional candidate Kate Bolz said she's grateful for the care she has received and will continue to quarantine
"Lincoln, Nebraska","The coronavirus pandemic has claimed its first Big Ten football game, and its going to cost Nebraska its scheduled"
"Lincoln, NE","The coronavirus pandemic has claimed its first Big Ten football game, and its going to cost Nebraska its scheduled"
"Lincoln, NE","In other virus news: A White House virus task force member confirms cases, hospitalizations, deaths all on rise in"
"Lincoln, NE",He is gonna lose that electoral vote in Omaha... Also live look at coronavirus pandemic here in NE.
Lincoln,Good reporting from and on Wisconsin's coronavirus situation:
"Lincoln, NE",A sell off across most markets is taking place this morning with increasing fears due to the coronavirus spreading
Lincoln,Maybe if universities had tried rapid Covid testing before teaching started they wouldnt be in such a mess
"Lincoln, NE",His opponent voted NO to Legislature discussing help for residents during crisis. Vote Brodey Weber f
"Lincoln, Nebraska",Good fact check....
"Lincoln, Nebraska",The numbers are bad in Nebraska...
"Lincoln, Nebraska",Turning the corner? The numbers are terrible....
"Lincoln, Nebraska",Turing the corner?.....
"Lincoln, Nebraska",Covid cases are soaring in SD....
"Lincoln, Nebraska",Source: Badgers' game at Nebraska in jeopardy. UW coronavirus positivity rate close to level forcing a shutdown.
"Lincoln, NE",Unleaded Less miles are being driven than normal and no sign of a major breakthrough in the coronavir
"Lincoln, NE",Nebraska health care workers first in line for COVID vaccine
"Lincoln, NE",Trump campaign says 'strong precautions' in place for Omaha rally as coronavirus cases rise
Lincoln,"The UK has recorded more coronavirus deaths over hours, the highest daily rise since May.Some new"
"Lincoln, NE","In case it isn't clear: The antibodies fall after infection thus, the herd immunity theory is becoming less and les"
Land of Lincoln,Covid sure is hilarious. Great use of your platform chief.
"Lincoln, NE",Omahas mask mandate and recent statewide coronavirus restrictions put in place by Gov. Pete Ricketts will not appl
"Lincoln, NE",Coronavirus updates: Virus worsens in Midwest in final week before election; LA sports teams' success helping drive
Lincoln,Not sure what the current restrictions are where you live?They'll depend on the 'alert level' in y
Lincoln Nebraska,It's dark out coronavirus doesn't fly after sundown.
"Lincoln, NE",How its done
"Lincoln, NE",Thats not accurate.
"Lincoln, NE","The confirmed cases of the coronavirus raised the county's total for the pandemic to , and its positivity rate"
"Lincoln, NE",Providers: Today we learned the Nebraska small business stabilization grants in the second round of CARE
"Lincoln, NE","Stocks are slumping sharply in afternoon trading on Wall Street Monday and deepening last weeks losses, as a troub"
Land of Lincoln,And Trump's pick to head the Coronavirus task force. We were doomed from the get-go.
"Lincoln, NE","Due to an overwhelming response, the Small Business Stabilization Coronavirus Relief Fund grants to assist Nebraska"
"Lincoln, NE","Particulate matter, long known to be harmful to human health, is now being tied to deaths. Because"
"Lincoln, NE","LIVE at a.m: Pete Ricketts will talk about the coronavirus pandemic, and HHS officials will discuss the plan to"
"Lincoln, NE","Coronavirus updates: US hits highest -day average of new cases since start of pandemic; Pence, White House press f"
"Lincoln, Nebraska","ICYMI: Wisconsin redshirt freshman QB Graham Mertz tested positive for the coronavirus Sunday, but is awaiting a co"
"Lincoln, NE","The total number of cases confirmed over the past week in Lancaster County was , which is a new weekly record. T"
"Lincoln, America",Your daily coronavirus update graphics are misleading. You show new cases and total deaths in the same
"Lincoln, NE",Meanwhile Victoria records no new coronavirus cases for first time in more than four months
"Lincoln, NE",Meanwhile: Victoria records no new coronavirus cases for first time in more than four months
"Lincoln, America","Do I have this straight? The a White House coronavirus task force, responsible for protecting America, is testing p"
"Lincoln, NE",Utah is currently at the same rate of infection (approx cases per k) as Nebraska but about two weeks ahead of
"Lincoln, NE","To NOT control the Coronavirus is a CHOICE. A choice to NOT implement an effective contact-tracing system, a choice"
"Lincoln, NE",Well this is horrifying. Utahs hospitals prepare to ration care as a record number of coronavirus pati
"Lincoln, NE",Lancaster County confirms new coronavirus cases; sets record weekly total
"Lincoln, NE","The total number of cases confirmed over the past week was , which is a new record for the number of cases in on"
"Lincoln, Nebraska","The Lancaster county health department has announced + coronavirus cases for Sunday, pushing the community total"
"Lincoln, Nebraska",Several people closest to the guy heading up the White House task force charged with keeping people from getting th
"Lincoln, Nebraska",Why vote for people who don't care or even try? They want you dead. ----
"Lincoln, NE","The Republican Party doesnt give a single fuck about the American people. Not about our health, not about our righ"
"Lincoln, NE","Coronavirus cases are rising in % of US states and territories, CDC director warns | Daily Mail Online"
Lincoln Nebraska,Trump is still pushing a conspiracy theory that hospitals are over-classifying coronavirus deaths becaus
"Lincoln, NE","Check out some ways to reduce your anxiety around the presidential election, see how to minimize the risk of corona"
Lincoln Nebraska,Trump is still pushing a conspiracy theory that hospitals are over-classifying coronavirus deaths because doctors
"Lincoln, NE","The coronavirus pandemic caused conventions, association meetings, athletic events and concerts to be canceled, dev"
"Lincoln, NE",Coronavirus updates: Vice President Pence tested negative for the virus Saturday after exposure to infected aide; d
"Lincoln, NE",Trump says that coronavirus is nothing only people in the world received the kind of care he did the average Ame
"Lincoln, NE",Link:
"Lincoln, NE",Pence chief of staff Marc Short tests positive for coronavirus
"Lincoln, Nebraska","COVID-19 UPDATE: A day after announcing the extended mask mandate, the Lincoln-Lancaster County Health Department"
"Lincoln, NE",Halloween is a week away! Check out the CDC's guidelines on how to stay safe this Halloween season here:
"Lincoln, NE","Masks block up to per cent of coronavirus, Japan study finds via"
"Lincoln, Nebraska ","""Will there be an enduring impact of the coronavirus pandemic on graduates?""Dr. Trainin was asked about the Teach"
"Lincoln, NE",The impact is being felt in every section of the country. Here are some of the latest developments across the U.S.
"Lincoln, NE",Trumps campaign made stops nationwide. Then coronavirus cases surged.
"Lincoln, Nebraska, USA","Yes, the Coronavirus is real, but there's still NO reason to be paranoid about it.Especially NOT to"
"Lincoln, NE",The United States is approaching a record for the number of new daily coronavirus cases in the latest ominous sign
"Lincoln, NE","We entered the final turn, according to the president, on August . At last count thats a /54 day turn.That"
"Lincoln, NE","So, if I wrote a fiction book about COVID, people could talk about ""the novel 'Coronavirus' which is about the nove"
"Lincoln, NE","At :30 p.m., city officials will have a briefing on the coronavirus response."
"Lincoln, NE","LIVE at :30 p.m., city officials talk about the city's coronavirus response."
"Lincoln, NE",Mayors News Conference: Coronavirus Update at :30pm todayWatch it live on LNKTV City
"Lincoln, Nebraska","(1/2) DAS Materiel Purchasing team, partnering with the , continues to distribute PPE across the state to l"
Lincoln,Oxford coronavirus vaccine works as expected' and triggers 'strong immunity - Metro. This is good news!
"Lincoln, NE","This joke needs a good ending, but I can't think of one:A coronavirus walks into a bar...says to the b"
"Lincoln, NE",The Oglala Sioux Tribe is locking down the Pine Ridge Indian Reservation for one week beginning tonight in response
"Lincoln, NE",San Quentin Ordered to Reduce Prison Population by Half Over Virus Fears
"Lincoln, NE","News Anchor: ""COVID cases are surging, highest case count recorded yesterday.""(No transition)News Anchor: ""Comi"
"Lincoln, NE",Coronavirus stimulus update: Pelosi signals relief bill could be far off
"Lincoln, NE",Coronavirus live updates: Cases climbed past in U.S. on Thursday; hospitalizations at ; Europe tighten
"Lincoln, NE","The CDC has redefined ""close contact"": being within ft. for minutes TOTAL over a -hour period. NE's DHMs ha"
"Lincoln, NE",President Donald Trump and Democratic challenger Joe Biden fought over how to tame the raging coronavirus during th
"Lincoln, NE",The effort to get federal relief for independent music venues that have been devastated by the coronavirus pandemic
"Lincoln, NE",Senate Republicans fume as Mnuchin gives ground to Pelosi in search of deal - The Washington Post
"Lincoln, NE",Now the coronavirus is NOT going away per Trump- this is confusing .
"Lincoln, NE",He's very calm... I think coronavirus isn't coursing through his body this time.
"Lincoln, NE","Macy's said Santa Claus won't be greeting kids at its flagship New York store this year due to the coronavirus, int"
"Lincoln, NE","The FDA has approved the first drug to treat COVID-19: remdesivir, an antiviral medicine which previously was autho"
"Lincoln, NE",Patriot Express passengers will soon be subject to random COVID19 testing
"Lincoln, NE",Coronavirus detected in South East Queensland sewage samples
"Lincoln, NE","Macys said Santa Claus wont be greeting kids at its flagship New York store this year due to the coronavirus, int"
"Lincoln, Nebraska",FDA APPROVES FIRST COVID TREATMENT:A first for the nation in the fight against coronavirus.The FDA has approved V
"Lincoln, Nebraska","SEVEN COVID-19 DEATHS THIS WEEK: Another somber day for Lancaster county as another coronavirus death is reported,"
"Lincoln, Nebraska",Corrections Director Scott Frakes testifies before Judiciary Committee that staff and inmates have tested p
"Lincoln, NE",Open schools? Lawsuit.Don't open schools? Lawsuit.Allow activities? Lawsuit.Don't allow activities? Lawsuit.Man
"Lincoln, Nebraska",NEW CASE HIGH FOR LPSLincoln Public Schools (LPS) breaks last week's record with a new highest number of positiv
"Lincoln, NE",Dow turns higher in choppy trading as Pelosi gives lift to hopes for coronavirus relief package - MarketWatch
"Lincoln, NE","Regulators present the proposal as a way to create jobs and help stabilize state revenue, while some in the environ"
"Lincoln, Nebraska",But it's just a cold ...
"Lincoln, Nebraska",CONCERN ABOUT NEW SCHOOL COVID PROCEDURES:After updating their coronavirus procedures if Lancaster County goes int
"Lincoln, NE",PROVIDERS: new opportunities for CARES Act funding: ) providers actively serving children on subsidy
"Lincoln, Nebraska",Researchers at collect wastewater samples in an effort to gain more information on Covid-19. Learn more
"Lincoln, NE",Except that is in fact happening
"Lincoln, NE",LPS no longer plans to automatically shift to remote learning if the risk dial moves to red. Parent Maggie Thompson
Lincoln,HuffPost UK: We Asked Over s What They Think About Calls For Them To Be Effectively Locked Up All Winter.
"Lincoln, NE",Dont put his name and COVID in the same sentence please.
Land of Lincoln ,"By the Covid-19 Infections Skyrocket, House Report Slams Trump's"
"Lincoln, NE","Why is it that suddenly since Covid, meeting anyone I havent previously met is anxiety x10"
"Lincoln, Nebraska",AMA statement on ongoing attacks on physicians treating COVID patients (via )
Lincoln,Pray for the day Bojo comes on tele and says well done everyone we smashed it Covid is gone you can all hug anyone
"Lincoln, Ne",New study estimates that Trump rallies have led to COVID cases and deaths
"Lincoln, Nebraska",The Big is being shortsighted. Ohio St. may have an opponent cancel a game due to covid and nee
"Lincoln, Nebraska",Happy Halloween with WAFFLES from for breakfast!!! So fun catching up with Steve Pearson too.
Lincoln,Well time to start stockpiling toilet roll again!! BBC News - Covid-19: PM set to announce month-long England lo
"Lincoln, NE","The major players in Washingtons COVID-19 relief blame game lobbed familiar volleys on Thursday, marking time in t"
"Lincoln, NE","If Trump is profiting from Covid treatments or vaccines, he has no incentive for reducin"
"Lincoln, Nebraska",So protocols can be adjusted if they are to Wisconsins benefit?
Land of Lincoln,"If you have cancer, and you catch covid and die of covid pneumonia...you actually died of"
"Lincoln, Nebraska",Covid-19 is not the flu.
"Lincoln, Nebraska","Hastings, Nebraska - the birthplace of Kool-Aid - may have cancelled their Kool-Aid Days festival this year due to"
Lincoln,Illinois has just players out with positive COVID tests. Several more have been sidelined for weeks due to cont
"Lincoln, NE",Some of the best growth stocks aren't tech. Meet Tupperware another beneficiary of Covid.$TUP
"Lincoln, Nebraska",Hello you have TWO teams with COVID issues. They played each other last week.Do you think NOW would be a
"Lincoln, NE",OMG throw Wisconsin out of the Big Ten!! How dare they question the leagues Covid protocol!
"Lincoln, NE",If this nation re-elects a criminal who has turned Covid-19 deaths into a stump speech trope/j
Lincoln,"News from Illinois, where Brandon Peters is out days due to Covid."
"Lincoln, NE",The article below-he denies saying. But he also
"Lincoln, NE",We had more COVID-19 cases diagnosed in the US yesterday than Chinas cumulative cases since December .
"Lincoln, NE",Megan Elliott is hopeful in our resilience to learn to adapt during a pandemic. Read more about how she see's our f
"Lincoln, NE",Wisconsin QB gets COVID and multiple players around him get COVID - game cancelled. Clemson QB gets COVID - nobody
"Lincoln, NE","Lets shut the bars down percent, Im Red all the way but willing to try a bar shut down. Lets"
"Lincoln, Nebraska","I have family voting emphatically for Trump. That means they are voting against close family that are LGBT, and vot"
"Lincoln, NE",A colleague of mine in Lincoln NE created a COVID tracker that includes community event markers (mask man
"Lincoln, NE",it wasnt hard to find at all
"Lincoln, NE",a lot of yall completely ignoring covid now needa watch this. and then if u still feel the need to go out without
"Lincoln, Nebraska","Even with new treatments, hospital beds are filling up."
Lincoln,Stay safe this Halloween! Wash your hands Cover Your Face Make Space Lincoln is currently under Medium Ti
"Lincoln, NE",Heartbreaking. And the POTUS is accusing them of insurance fraud by falsely claiming patients are dying of Covid so
"Lincoln, NE",CYBL Covid-19 Guidelines and Protocols
Lincoln,yes because you only see the death rate of covid . nobody actually ever shows you the
Lincoln ,Why isnt there a national conversation on bringing in a basic income. This should have been considered back in Jan
Lincoln,Isolating after a positive test only prevents further transmission doesnt protect those who were exposed before sy
Lincoln,"Covid rates in Lincoln, but lets have a national lockdown that excludes universities."
"Lincoln, NE","Well jada, the Halloween is now covid and we don't want to get sick for people and idk?"
"Lincoln, Nebraska, USA","Lincoln Southeast hadn't played a football game since Oct. , after their game with Gretna Oct. was cancelled du"
"Lincoln, NE",Thanksgiving will have huge influx of Covid hospitalizations in that case
"Lincoln, NE",Weirdly- we are days till Thanksgiving. It takes three to four weeks to catch Covid and have it run it course in
"Lincoln, NE",will ensure that we lock it down to keep us safe. Covid is more important than domestic violence which ha
"Lincoln, NE","Plugging along, my state really should be shut down again. st teacher in the state to die from covid oc"
"Lincoln, Nebraska",in people in Dakota County have now had COVID.
"Lincoln, Nebraska",Its very on brand for him to present a picture of himself smiling maniacally while tweeting about people dying. (I
"Lincoln, NE",*Everyone at Halloween parties tonight*Covid:
"Lincoln, NE",Are they worried he could catch covid going in? I don't understand the precaution? Time to find a new ped?
"Lincoln, NE",Thank you Chris. You helped frame this so well. The other side is getting into Orwellian brainwashing
"Lincoln, NE","Letter writer: ""I guess that because of the advent of COVID, I worry about what would happen to these journals if I"
"Lincoln, NE",PJ Fleck took up cycling during Covid. How the hell is his Bike sinking too!!
"Lincoln, NE",I havent heard that....did you hear tested positive for Covid?
"Lincoln, NE",The suggestion that doctorsin the midst of a public health crisisare overcounting COVID-19 patients or lying to
"Lincoln, NE","COVID-19: For the fourth day in a row, Nebraska set a record for hospitalizations. Since October , COVID-19 hospit"
Lincoln NE,Whelp let's wait to hear the response when an SEC team asks to play ball as well after a team cannot du
"Lincoln, NE","update: New cases today: -day average new cases: , record high Active hospitaliza"
"Lincoln, Nebraska",Any complications from Covid or living with t
"Lincoln, NE","Chadron hospital is, allegedly, at full capacity with COVID patients. Multiple residents at Prairie Pi"
"Lincoln, NE","Chadron hospital is, allegedly, at full capacity with COVID patients. Multiple residents at Prairie Pine"
"Lincoln, NE","Chadron hospital is, allegedly, at full capacity with COVID patients. Multiple residents at Prairie Pines A"
"Lincoln, NE",This is terrifying! One our local health systems has seen more patients die of at its hospitals this month
"Lincoln, NE","Chadron hospital is, allegedly, at full capacity with COVID patients. Multiple residents at Prairie Pi"
"Lincoln, NE","Chadron hospital is, allegedly, at full capacity with COVID patients. Multiple residents at Prairie"
"Lincoln, NE","Chadron hospital is, allegedly, at full capacity with COVID patients. Multiple residents at Prairie Pi"
"Lincoln, NE","Chadron hospital is, allegedly, at full capacity with COVID patients. Multiple residents at Prairie Pi"
"Lincoln, Nebraska",One thing DHHS doesn't include on the Nebraska COVID dashboard is how many beds they've had to add to the total to
"Lincoln, Nebraska",Liem warming up in her brand new .shirettes letter jacket for the High School Football Playoffs: LSE vs. Columb
"Lincoln, NE",There will be family Thanksgivings and Christmases this year that result in multiple Covid deaths. So get ready fo
"Lincoln, Nebraska","My wild guess for new COVID cases today in Nebraska: . Usually Fridays are the highest days, but with yesterday"
"Lincoln, NE",I think youve lost me. How does a curfew prevent m+ COVID cases in this country? (About t
"Lincoln, NE",Prediction: Minnesota will have a COVID outbreak before they play Nebraska this year.
"Lincoln, Nebraska",Sarcasm isn't helping the people who have contracted covid or their loved ones. . . find a better way that is posi
"lincoln, ne",And also to be one less person the poll workers need to be worried about giving them COVID!
"Lincoln, NE",clients this week. hours spent mostly processing election anxiety/coping plans &amp; COVID anxiety/losses. I'm su
"Lincoln, NE",They are all nessicary chile...factory work
"Lincoln, NE","Trump literally said he would sign any covid relief bill that came his way. But, It cant be fille"
"Lincoln, NE","""Urgent action is needed,"" the st District Democratic congressional nominee says. ""Partisanship should not stand i"
"Lincoln, NE",FFN Digest: adds early childhood to website marketing state to new resident
"Lincoln, NE",Bolz urges new COVID-19 relief package
"Lincoln, NE","From phone calls with Kevin Warren and Barry Alvarez to COVID-19 testing in Chattanooga, AD Bill Moos talk"
"Lincoln, NE","A new Directed Health Measure will take effect in on Nov. , with the purpose of moving the risk dial in the o"
"Lincoln, NE","Approaching red.Our choices have an impact, and that impact can be for better or for worse. Lets dig deep and do"
"Lincoln, Nebraska",I cannot help but wonder. Did Mr. stage his episode? Does it matter? He gets exclusive medical care wh
"Lincoln, Nebraska, USA",COVID-19 Risk Dial Remains in Elevated Orange:
"Lincoln, NE",The trophy probably has COVID-19
"Lincoln, Nebraska","Along the same lines, here is a video from John Schneider Questioning the covid numbers"
"Lincoln, NE","But local officials say the county is ""on the verge"" of moving into the red range if conditions don't improve, as h"
"Lincoln, NE",When the wont let you find another opponent to replace a team that shut down for COVID protocol
"Lincoln, NE",Hemingford Public Schools in Western Nebraska issued a mask mandate this week after students were quarantined. T
"Lincoln, Nebraska",Lancaster County COVID-19 Risk Dial Remains In Elevated High Risk Orange
"Lincoln, NE",COVID relief funding available to licensed school-age-only centers or school-based centers. Learn if youre eligibl
"Lincoln, NE",And once you are too old .... if Covid gets ya ... at least your kids K looks good!
"Lincoln, NE",Regeneron Pharmaceuticals Inc. said Friday that independent monitors had recommended placing on hold enrollment of
"Lincoln, NE",now has a weekly newsletter with resources and tips for coping during the pandemic. This week's iss
"Lincoln, NE",A thread honoring the young people who have died from COVID-19.
"Lincoln, Nebraska","UHC Test Registry Announcement: In response to the COVID-19 public health emergency, implementation of the Laborato"
"Lincoln, NE",Negative for Covid.
"Lincoln, Nebraska, USA","lab-confirmed cases of COVID-19 have been reported in Lancaster County today, bringing the community total to ,"
"Lincoln, Nebraska",COVID-19 Test Results: NEGATIVE!!! Thank you for randomly selecting me for the Mitigation Testing.
"Lincoln, Nebraska",Heres how the students of UNL feel about Halloween: Pandemic edition.
"Lincoln, Nebraska","COVID-19 patients in hospitals today, most ever. of those are from Lancaster County. October average is"
"Lincoln, NE","With flu season just around the corner, the Centers for Disease Control wants you to know the differences between i"
"Lincoln, Nebraska, USA",Covid Risk Dial Remains High Orange
"Lincoln, NE",Consistently inconsistent is the COVID way. Here it was illegal to be in a park or at a lake with n
"Lincoln, NE","The COVID-19 Risk Dial for Lincoln and Lancaster County remains the same this week - in the Orange ""High Risk"" cate"
Land of Lincoln ,"Please add on vanka doodle, , deric and the other one.This Is Trum"
"Lincoln, NE",LIVE at :30 p.m.: Lincoln officials discuss the city's COVID-19 response.
"Lincoln, Nebraska",'s COVID risk dial is staying in the high orange range.
"Lincoln, Nebraska","Our local hospital is starting phase of COVID surge preparation, and the only thing people around here care about"
"Lincoln, Nebraska",new COVID-19 cases today in . No new deaths for the second day in a row (that's good news). Positivity rate
"Lincoln, Nebraska",COVID-19 has taken down another downtown restaurant:
"Lincoln, NE",Here's a couple more statsne of every Nebraskans has had COVID-19 so far.Compared to top causes of death in
"Lincoln, NE",The district is not aware that he had any close contact with another person who had COVID-19 at the school.
"Land of Lincoln, USA",Did you check with about wearing masks (he was reprimanded by his own Condo associ
"Lincoln, NE",Itll be a good game I think. Iowa has a lot of question marks still. This kinda seems like the that clas
"Lincoln, NE","Goodness, it truly appears to be a real article written by a human. When I first saw the word salad this morning, I"
Lincoln,Thanks for those. I see your point but the university sizes make it tough. Being ar
"Lincoln, NE",Your killed over people By DOING NOTHING TO STOP OR CONTROL COVID! THROUGH YOUR OWN GROSS INCOMPETENCE!!!!
"Lincoln, NE","Sir, on /17 you, as White House Chief of Staff, told the public we would have miliions doses of a"
"Lincoln, NE",Only took the man how many months to figure out people could have COVID and be asymptomatic?
"Lincoln, NE",Then absolutely go for it!! I just got over Covid myself but hey... g
"Lincoln, NE","% of those who have died from COVID, have died RECENTLY, and we are still acting like its just like, the tail en"
"Lincoln, NE","k+ COVID deathsRep: Who cares, it doesn't exist.AbortionRep: [Insert The Handmaid's Tale Pic]"
"Lincoln, Nebraska, USA",Bryan Health enters Phase One surge plan. -KFOR News
Lincoln,"Please end the hysteria around Covid, its a virus, its not the first it wont be the last. Lets protect the vuln"
"Lincoln, NE","From NSEA President Jenni Benson: ""This is a difficult time. The virus is unrelenting... I believe that we cannot g"
"Lincoln, NE",Does the Big Ten have a COVID tracker like states and cities do? If not they really should.
"Lincoln, NE","Hold on, Illinois is still playing with some players out with COVID? This is blasphemy, this is madness...this is S"
"Lincoln, NE",Despite them working endlessly and being th
"Lincoln, NE",I actually agree with him. Nebraska fans are an absolute embarrassment. Crying about not being able
