,location,tweet,covid
84,"Lincoln, Nebraska","The coronavirus pandemic has claimed its first Big Ten football game, and its going to cost Nebraska its scheduled",1
85,"Lincoln, NE","The coronavirus pandemic has claimed its first Big Ten football game, and its going to cost Nebraska its scheduled",1
86,"Lincoln, NE","In other virus news: A White House virus task force member confirms cases, hospitalizations, deaths all on rise in",1
87,"Lincoln, NE",He is gonna lose that electoral vote in Omaha... Also live look at coronavirus pandemic here in NE.,1
88,Lincoln,Good reporting from and on Wisconsin's coronavirus situation:,1
89,"Lincoln, NE",A sell off across most markets is taking place this morning with increasing fears due to the coronavirus spreading,1
90,Lincoln,Maybe if universities had tried rapid Covid testing before teaching started they wouldnt be in such a mess,1
91,"Lincoln, NE",His opponent voted NO to Legislature discussing help for residents during crisis. Vote Brodey Weber f,1
92,"Lincoln, Nebraska",Good fact check....,1
93,"Lincoln, Nebraska",The numbers are bad in Nebraska...,1
94,"Lincoln, Nebraska",Turning the corner? The numbers are terrible....,1
95,"Lincoln, Nebraska",Turing the corner?.....,1
96,"Lincoln, Nebraska",Covid cases are soaring in SD....,1
97,"Lincoln, Nebraska",Source: Badgers' game at Nebraska in jeopardy. UW coronavirus positivity rate close to level forcing a shutdown.,1
98,"Lincoln, NE",Unleaded Less miles are being driven than normal and no sign of a major breakthrough in the coronavir,1
99,"Lincoln, NE",Nebraska health care workers first in line for COVID vaccine,1
100,"Lincoln, NE",Trump campaign says 'strong precautions' in place for Omaha rally as coronavirus cases rise,1
101,Lincoln,"The UK has recorded more coronavirus deaths over hours, the highest daily rise since May.Some new",1
102,"Lincoln, NE","In case it isn't clear: The antibodies fall after infection thus, the herd immunity theory is becoming less and les",1
103,Land of Lincoln,Covid sure is hilarious. Great use of your platform chief.,1
104,"Lincoln, NE",Omahas mask mandate and recent statewide coronavirus restrictions put in place by Gov. Pete Ricketts will not appl,1
105,"Lincoln, NE",Coronavirus updates: Virus worsens in Midwest in final week before election; LA sports teams' success helping drive,1
106,Lincoln,Not sure what the current restrictions are where you live?They'll depend on the 'alert level' in y,1
107,Lincoln Nebraska,It's dark out coronavirus doesn't fly after sundown.,1
108,"Lincoln, NE",How its done,1
109,"Lincoln, NE",Thats not accurate.,1
110,"Lincoln, NE","The confirmed cases of the coronavirus raised the county's total for the pandemic to , and its positivity rate",1
111,"Lincoln, NE",Providers: Today we learned the Nebraska small business stabilization grants in the second round of CARE,1
112,"Lincoln, NE","Stocks are slumping sharply in afternoon trading on Wall Street Monday and deepening last weeks losses, as a troub",1
113,Land of Lincoln,And Trump's pick to head the Coronavirus task force. We were doomed from the get-go.,1
114,"Lincoln, NE","Due to an overwhelming response, the Small Business Stabilization Coronavirus Relief Fund grants to assist Nebraska",1
115,"Lincoln, NE","Particulate matter, long known to be harmful to human health, is now being tied to deaths. Because",1
116,"Lincoln, NE","LIVE at a.m: Pete Ricketts will talk about the coronavirus pandemic, and HHS officials will discuss the plan to",1
117,"Lincoln, NE","Coronavirus updates: US hits highest -day average of new cases since start of pandemic; Pence, White House press f",1
118,"Lincoln, Nebraska","ICYMI: Wisconsin redshirt freshman QB Graham Mertz tested positive for the coronavirus Sunday, but is awaiting a co",1
119,"Lincoln, NE","The total number of cases confirmed over the past week in Lancaster County was , which is a new weekly record. T",1
120,"Lincoln, America",Your daily coronavirus update graphics are misleading. You show new cases and total deaths in the same,1
121,"Lincoln, NE",Meanwhile Victoria records no new coronavirus cases for first time in more than four months,1
122,"Lincoln, NE",Meanwhile: Victoria records no new coronavirus cases for first time in more than four months,1
123,"Lincoln, America","Do I have this straight? The a White House coronavirus task force, responsible for protecting America, is testing p",1
124,"Lincoln, NE",Utah is currently at the same rate of infection (approx cases per k) as Nebraska but about two weeks ahead of,1
125,"Lincoln, NE","To NOT control the Coronavirus is a CHOICE. A choice to NOT implement an effective contact-tracing system, a choice",1
126,"Lincoln, NE",Well this is horrifying. Utahs hospitals prepare to ration care as a record number of coronavirus pati,1
127,"Lincoln, NE",Lancaster County confirms new coronavirus cases; sets record weekly total,1
128,"Lincoln, NE","The total number of cases confirmed over the past week was , which is a new record for the number of cases in on",1
129,"Lincoln, Nebraska","The Lancaster county health department has announced + coronavirus cases for Sunday, pushing the community total",1
130,"Lincoln, Nebraska",Several people closest to the guy heading up the White House task force charged with keeping people from getting th,1
131,"Lincoln, Nebraska",Why vote for people who don't care or even try? They want you dead. ----,1
132,"Lincoln, NE","The Republican Party doesnt give a single fuck about the American people. Not about our health, not about our righ",1
133,"Lincoln, NE","Coronavirus cases are rising in % of US states and territories, CDC director warns | Daily Mail Online",1
134,Lincoln Nebraska,Trump is still pushing a conspiracy theory that hospitals are over-classifying coronavirus deaths becaus,1
135,"Lincoln, NE","Check out some ways to reduce your anxiety around the presidential election, see how to minimize the risk of corona",1
136,Lincoln Nebraska,Trump is still pushing a conspiracy theory that hospitals are over-classifying coronavirus deaths because doctors,1
137,"Lincoln, NE","The coronavirus pandemic caused conventions, association meetings, athletic events and concerts to be canceled, dev",1
138,"Lincoln, NE",Coronavirus updates: Vice President Pence tested negative for the virus Saturday after exposure to infected aide; d,1
139,"Lincoln, NE",Trump says that coronavirus is nothing only people in the world received the kind of care he did the average Ame,1
140,"Lincoln, NE",Link:,1
141,"Lincoln, NE",Pence chief of staff Marc Short tests positive for coronavirus,1
142,"Lincoln, Nebraska","COVID-19 UPDATE: A day after announcing the extended mask mandate, the Lincoln-Lancaster County Health Department",1
143,"Lincoln, NE",Halloween is a week away! Check out the CDC's guidelines on how to stay safe this Halloween season here:,1
144,"Lincoln, NE","Masks block up to per cent of coronavirus, Japan study finds via",1
145,"Lincoln, Nebraska ","""Will there be an enduring impact of the coronavirus pandemic on graduates?""Dr. Trainin was asked about the Teach",1
146,"Lincoln, NE",The impact is being felt in every section of the country. Here are some of the latest developments across the U.S.,1
147,"Lincoln, NE",Trumps campaign made stops nationwide. Then coronavirus cases surged.,1
148,"Lincoln, Nebraska, USA","Yes, the Coronavirus is real, but there's still NO reason to be paranoid about it.Especially NOT to",1
149,"Lincoln, NE",The United States is approaching a record for the number of new daily coronavirus cases in the latest ominous sign,1
150,"Lincoln, NE","We entered the final turn, according to the president, on August . At last count thats a /54 day turn.That",1
151,"Lincoln, NE","So, if I wrote a fiction book about COVID, people could talk about ""the novel 'Coronavirus' which is about the nove",1
152,"Lincoln, NE","At :30 p.m., city officials will have a briefing on the coronavirus response.",1
153,"Lincoln, NE","LIVE at :30 p.m., city officials talk about the city's coronavirus response.",1
154,"Lincoln, NE",Mayors News Conference: Coronavirus Update at :30pm todayWatch it live on LNKTV City,1
155,"Lincoln, Nebraska","(1/2) DAS Materiel Purchasing team, partnering with the , continues to distribute PPE across the state to l",1
156,Lincoln,Oxford coronavirus vaccine works as expected' and triggers 'strong immunity - Metro. This is good news!,1
157,"Lincoln, NE","This joke needs a good ending, but I can't think of one:A coronavirus walks into a bar...says to the b",1
158,"Lincoln, NE",The Oglala Sioux Tribe is locking down the Pine Ridge Indian Reservation for one week beginning tonight in response,1
159,"Lincoln, NE",San Quentin Ordered to Reduce Prison Population by Half Over Virus Fears,1
160,"Lincoln, NE","News Anchor: ""COVID cases are surging, highest case count recorded yesterday.""(No transition)News Anchor: ""Comi",1
161,"Lincoln, NE",Coronavirus stimulus update: Pelosi signals relief bill could be far off,1
162,"Lincoln, NE",Coronavirus live updates: Cases climbed past in U.S. on Thursday; hospitalizations at ; Europe tighten,1
163,"Lincoln, NE","The CDC has redefined ""close contact"": being within ft. for minutes TOTAL over a -hour period. NE's DHMs ha",1
164,"Lincoln, NE",President Donald Trump and Democratic challenger Joe Biden fought over how to tame the raging coronavirus during th,1
165,"Lincoln, NE",The effort to get federal relief for independent music venues that have been devastated by the coronavirus pandemic,1
166,"Lincoln, NE",Senate Republicans fume as Mnuchin gives ground to Pelosi in search of deal - The Washington Post,1
167,"Lincoln, NE",Now the coronavirus is NOT going away per Trump- this is confusing .,1
168,"Lincoln, NE",He's very calm... I think coronavirus isn't coursing through his body this time.,1
169,"Lincoln, NE","Macy's said Santa Claus won't be greeting kids at its flagship New York store this year due to the coronavirus, int",1
170,"Lincoln, NE","The FDA has approved the first drug to treat COVID-19: remdesivir, an antiviral medicine which previously was autho",1
171,"Lincoln, NE",Patriot Express passengers will soon be subject to random COVID19 testing,1
172,"Lincoln, NE",Coronavirus detected in South East Queensland sewage samples,1
173,"Lincoln, NE","Macys said Santa Claus wont be greeting kids at its flagship New York store this year due to the coronavirus, int",1
174,"Lincoln, Nebraska",FDA APPROVES FIRST COVID TREATMENT:A first for the nation in the fight against coronavirus.The FDA has approved V,1
175,"Lincoln, Nebraska","SEVEN COVID-19 DEATHS THIS WEEK: Another somber day for Lancaster county as another coronavirus death is reported,",1
176,"Lincoln, Nebraska",Corrections Director Scott Frakes testifies before Judiciary Committee that staff and inmates have tested p,1
177,"Lincoln, NE",Open schools? Lawsuit.Don't open schools? Lawsuit.Allow activities? Lawsuit.Don't allow activities? Lawsuit.Man,1
178,"Lincoln, Nebraska",NEW CASE HIGH FOR LPSLincoln Public Schools (LPS) breaks last week's record with a new highest number of positiv,1
179,"Lincoln, NE",Dow turns higher in choppy trading as Pelosi gives lift to hopes for coronavirus relief package - MarketWatch,1
180,"Lincoln, NE","Regulators present the proposal as a way to create jobs and help stabilize state revenue, while some in the environ",1
181,"Lincoln, Nebraska",But it's just a cold ...,1
182,"Lincoln, Nebraska",CONCERN ABOUT NEW SCHOOL COVID PROCEDURES:After updating their coronavirus procedures if Lancaster County goes int,1
183,"Lincoln, NE",PROVIDERS: new opportunities for CARES Act funding: ) providers actively serving children on subsidy,1
184,"Lincoln, Nebraska",Researchers at collect wastewater samples in an effort to gain more information on Covid-19. Learn more,1
185,"Lincoln, NE",Except that is in fact happening,1
186,"Lincoln, NE",LPS no longer plans to automatically shift to remote learning if the risk dial moves to red. Parent Maggie Thompson,1
187,Lincoln,HuffPost UK: We Asked Over s What They Think About Calls For Them To Be Effectively Locked Up All Winter.,1
188,"Lincoln, NE",Dont put his name and COVID in the same sentence please.,1
189,Land of Lincoln ,"By the Covid-19 Infections Skyrocket, House Report Slams Trump's",1
190,"Lincoln, NE","Why is it that suddenly since Covid, meeting anyone I havent previously met is anxiety x10",1
191,"Lincoln, Nebraska",AMA statement on ongoing attacks on physicians treating COVID patients (via ),1
192,Lincoln,Pray for the day Bojo comes on tele and says well done everyone we smashed it Covid is gone you can all hug anyone,1
193,"Lincoln, Ne",New study estimates that Trump rallies have led to COVID cases and deaths,1
194,"Lincoln, Nebraska",The Big is being shortsighted. Ohio St. may have an opponent cancel a game due to covid and nee,1
195,"Lincoln, Nebraska",Happy Halloween with WAFFLES from for breakfast!!! So fun catching up with Steve Pearson too.,1
196,Lincoln,Well time to start stockpiling toilet roll again!! BBC News - Covid-19: PM set to announce month-long England lo,1
197,"Lincoln, NE","The major players in Washingtons COVID-19 relief blame game lobbed familiar volleys on Thursday, marking time in t",1
198,"Lincoln, NE","If Trump is profiting from Covid treatments or vaccines, he has no incentive for reducin",1
199,"Lincoln, Nebraska",So protocols can be adjusted if they are to Wisconsins benefit?,1
200,Land of Lincoln,"If you have cancer, and you catch covid and die of covid pneumonia...you actually died of",1
201,"Lincoln, Nebraska",Covid-19 is not the flu.,1
202,"Lincoln, Nebraska","Hastings, Nebraska - the birthplace of Kool-Aid - may have cancelled their Kool-Aid Days festival this year due to",1
203,Lincoln,Illinois has just players out with positive COVID tests. Several more have been sidelined for weeks due to cont,1
204,"Lincoln, NE",Some of the best growth stocks aren't tech. Meet Tupperware another beneficiary of Covid.$TUP,1
205,"Lincoln, Nebraska",Hello you have TWO teams with COVID issues. They played each other last week.Do you think NOW would be a,1
206,"Lincoln, NE",OMG throw Wisconsin out of the Big Ten!! How dare they question the leagues Covid protocol!,1
207,"Lincoln, NE",If this nation re-elects a criminal who has turned Covid-19 deaths into a stump speech trope/j,1
208,Lincoln,"News from Illinois, where Brandon Peters is out days due to Covid.",1
209,"Lincoln, NE",The article below-he denies saying. But he also,1
210,"Lincoln, NE",We had more COVID-19 cases diagnosed in the US yesterday than Chinas cumulative cases since December .,1
211,"Lincoln, NE",Megan Elliott is hopeful in our resilience to learn to adapt during a pandemic. Read more about how she see's our f,1
212,"Lincoln, NE",Wisconsin QB gets COVID and multiple players around him get COVID - game cancelled. Clemson QB gets COVID - nobody,1
213,"Lincoln, NE","Lets shut the bars down percent, Im Red all the way but willing to try a bar shut down. Lets",1
214,"Lincoln, Nebraska","I have family voting emphatically for Trump. That means they are voting against close family that are LGBT, and vot",1
215,"Lincoln, NE",A colleague of mine in Lincoln NE created a COVID tracker that includes community event markers (mask man,1
216,"Lincoln, NE",it wasnt hard to find at all,1
217,"Lincoln, NE",a lot of yall completely ignoring covid now needa watch this. and then if u still feel the need to go out without,1
218,"Lincoln, Nebraska","Even with new treatments, hospital beds are filling up.",1
219,Lincoln,Stay safe this Halloween! Wash your hands Cover Your Face Make Space Lincoln is currently under Medium Ti,1
220,"Lincoln, NE",Heartbreaking. And the POTUS is accusing them of insurance fraud by falsely claiming patients are dying of Covid so,1
221,"Lincoln, NE",CYBL Covid-19 Guidelines and Protocols,1
222,Lincoln,yes because you only see the death rate of covid . nobody actually ever shows you the,1
223,Lincoln ,Why isnt there a national conversation on bringing in a basic income. This should have been considered back in Jan,1
224,Lincoln,Isolating after a positive test only prevents further transmission doesnt protect those who were exposed before sy,1
225,Lincoln,"Covid rates in Lincoln, but lets have a national lockdown that excludes universities.",1
226,"Lincoln, NE","Well jada, the Halloween is now covid and we don't want to get sick for people and idk?",1
227,"Lincoln, Nebraska, USA","Lincoln Southeast hadn't played a football game since Oct. , after their game with Gretna Oct. was cancelled du",1
228,"Lincoln, NE",Thanksgiving will have huge influx of Covid hospitalizations in that case,1
229,"Lincoln, NE",Weirdly- we are days till Thanksgiving. It takes three to four weeks to catch Covid and have it run it course in,1
230,"Lincoln, NE",will ensure that we lock it down to keep us safe. Covid is more important than domestic violence which ha,1
231,"Lincoln, NE","Plugging along, my state really should be shut down again. st teacher in the state to die from covid oc",1
232,"Lincoln, Nebraska",in people in Dakota County have now had COVID.,1
233,"Lincoln, Nebraska",Its very on brand for him to present a picture of himself smiling maniacally while tweeting about people dying. (I,1
234,"Lincoln, NE",*Everyone at Halloween parties tonight*Covid:,1
235,"Lincoln, NE",Are they worried he could catch covid going in? I don't understand the precaution? Time to find a new ped?,1
236,"Lincoln, NE",Thank you Chris. You helped frame this so well. The other side is getting into Orwellian brainwashing,1
237,"Lincoln, NE","Letter writer: ""I guess that because of the advent of COVID, I worry about what would happen to these journals if I",1
238,"Lincoln, NE",PJ Fleck took up cycling during Covid. How the hell is his Bike sinking too!!,1
239,"Lincoln, NE",I havent heard that....did you hear tested positive for Covid?,1
240,"Lincoln, NE",The suggestion that doctorsin the midst of a public health crisisare overcounting COVID-19 patients or lying to,1
241,"Lincoln, NE","COVID-19: For the fourth day in a row, Nebraska set a record for hospitalizations. Since October , COVID-19 hospit",1
242,Lincoln NE,Whelp let's wait to hear the response when an SEC team asks to play ball as well after a team cannot du,1
243,"Lincoln, NE","update: New cases today: -day average new cases: , record high Active hospitaliza",1
244,"Lincoln, Nebraska",Any complications from Covid or living with t,1
245,"Lincoln, NE","Chadron hospital is, allegedly, at full capacity with COVID patients. Multiple residents at Prairie Pi",1
246,"Lincoln, NE","Chadron hospital is, allegedly, at full capacity with COVID patients. Multiple residents at Prairie Pine",1
247,"Lincoln, NE","Chadron hospital is, allegedly, at full capacity with COVID patients. Multiple residents at Prairie Pines A",1
248,"Lincoln, NE",This is terrifying! One our local health systems has seen more patients die of at its hospitals this month,1
249,"Lincoln, NE","Chadron hospital is, allegedly, at full capacity with COVID patients. Multiple residents at Prairie Pi",1
250,"Lincoln, NE","Chadron hospital is, allegedly, at full capacity with COVID patients. Multiple residents at Prairie",1
251,"Lincoln, NE","Chadron hospital is, allegedly, at full capacity with COVID patients. Multiple residents at Prairie Pi",1
252,"Lincoln, NE","Chadron hospital is, allegedly, at full capacity with COVID patients. Multiple residents at Prairie Pi",1
253,"Lincoln, Nebraska",One thing DHHS doesn't include on the Nebraska COVID dashboard is how many beds they've had to add to the total to,1
254,"Lincoln, Nebraska",Liem warming up in her brand new .shirettes letter jacket for the High School Football Playoffs: LSE vs. Columb,1
255,"Lincoln, NE",There will be family Thanksgivings and Christmases this year that result in multiple Covid deaths. So get ready fo,1
256,"Lincoln, Nebraska","My wild guess for new COVID cases today in Nebraska: . Usually Fridays are the highest days, but with yesterday",1
257,"Lincoln, NE",I think youve lost me. How does a curfew prevent m+ COVID cases in this country? (About t,1
258,"Lincoln, NE",Prediction: Minnesota will have a COVID outbreak before they play Nebraska this year.,1
259,"Lincoln, Nebraska",Sarcasm isn't helping the people who have contracted covid or their loved ones. . . find a better way that is posi,1
260,"lincoln, ne",And also to be one less person the poll workers need to be worried about giving them COVID!,1
261,"Lincoln, NE",clients this week. hours spent mostly processing election anxiety/coping plans &amp; COVID anxiety/losses. I'm su,1
262,"Lincoln, NE",They are all nessicary chile...factory work,1
263,"Lincoln, NE","Trump literally said he would sign any covid relief bill that came his way. But, It cant be fille",1
264,"Lincoln, NE","""Urgent action is needed,"" the st District Democratic congressional nominee says. ""Partisanship should not stand i",1
265,"Lincoln, NE",FFN Digest: adds early childhood to website marketing state to new resident,1
266,"Lincoln, NE",Bolz urges new COVID-19 relief package,1
267,"Lincoln, NE","From phone calls with Kevin Warren and Barry Alvarez to COVID-19 testing in Chattanooga, AD Bill Moos talk",1
268,"Lincoln, NE","A new Directed Health Measure will take effect in on Nov. , with the purpose of moving the risk dial in the o",1
269,"Lincoln, NE","Approaching red.Our choices have an impact, and that impact can be for better or for worse. Lets dig deep and do",1
270,"Lincoln, Nebraska",I cannot help but wonder. Did Mr. stage his episode? Does it matter? He gets exclusive medical care wh,1
271,"Lincoln, Nebraska, USA",COVID-19 Risk Dial Remains in Elevated Orange:,1
272,"Lincoln, NE",The trophy probably has COVID-19,1
273,"Lincoln, Nebraska","Along the same lines, here is a video from John Schneider Questioning the covid numbers",1
274,"Lincoln, NE","But local officials say the county is ""on the verge"" of moving into the red range if conditions don't improve, as h",1
275,"Lincoln, NE",When the wont let you find another opponent to replace a team that shut down for COVID protocol,1
276,"Lincoln, NE",Hemingford Public Schools in Western Nebraska issued a mask mandate this week after students were quarantined. T,1
277,"Lincoln, Nebraska",Lancaster County COVID-19 Risk Dial Remains In Elevated High Risk Orange,1
278,"Lincoln, NE",COVID relief funding available to licensed school-age-only centers or school-based centers. Learn if youre eligibl,1
279,"Lincoln, NE",And once you are too old .... if Covid gets ya ... at least your kids K looks good!,1
280,"Lincoln, NE",Regeneron Pharmaceuticals Inc. said Friday that independent monitors had recommended placing on hold enrollment of,1
281,"Lincoln, NE",now has a weekly newsletter with resources and tips for coping during the pandemic. This week's iss,1
282,"Lincoln, NE",A thread honoring the young people who have died from COVID-19.,1
283,"Lincoln, Nebraska","UHC Test Registry Announcement: In response to the COVID-19 public health emergency, implementation of the Laborato",1
284,"Lincoln, NE",Negative for Covid.,1
285,"Lincoln, Nebraska, USA","lab-confirmed cases of COVID-19 have been reported in Lancaster County today, bringing the community total to ,",1
286,"Lincoln, Nebraska",COVID-19 Test Results: NEGATIVE!!! Thank you for randomly selecting me for the Mitigation Testing.,1
287,"Lincoln, Nebraska",Heres how the students of UNL feel about Halloween: Pandemic edition.,1
288,"Lincoln, Nebraska","COVID-19 patients in hospitals today, most ever. of those are from Lancaster County. October average is",1
289,"Lincoln, NE","With flu season just around the corner, the Centers for Disease Control wants you to know the differences between i",1
290,"Lincoln, Nebraska, USA",Covid Risk Dial Remains High Orange,1
291,"Lincoln, NE",Consistently inconsistent is the COVID way. Here it was illegal to be in a park or at a lake with n,1
292,"Lincoln, NE","The COVID-19 Risk Dial for Lincoln and Lancaster County remains the same this week - in the Orange ""High Risk"" cate",1
